search_text,table_name,column_name,data_type,dicom_tag,category,description,constraints,contains_phi,relationships
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_key (INTEGER) - Surrogate key. DICOM tag (0010,xxxx). Constraints: AUTOINCREMENT PRIMARY KEY.",dicom_patient,patient_key,INTEGER,"(0010,xxxx)",Core Hierarchy,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,Patient → Study → Series → Instance
Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column source_system (VARCHAR) - Originating system.,dicom_patient,source_system,VARCHAR,,Core Hierarchy,Originating system,,N,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_id (VARCHAR) - DICOM Patient ID. DICOM tag (0010,0020). Contains PHI - requires masking. Constraints: NOT NULL.",dicom_patient,patient_id,VARCHAR,"(0010,0020)",Core Hierarchy,DICOM Patient ID,NOT NULL,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column issuer_of_patient_id (VARCHAR) - Issuer of Patient ID. DICOM tag (0010,0021). Contains PHI - requires masking.",dicom_patient,issuer_of_patient_id,VARCHAR,"(0010,0021)",Core Hierarchy,Issuer of Patient ID,,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_name (VARCHAR) - Patient name. DICOM tag (0010,0010). Contains PHI - requires masking.",dicom_patient,patient_name,VARCHAR,"(0010,0010)",Core Hierarchy,Patient name,,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_sex (VARCHAR(16)) - M, F, or O. DICOM tag (0010,0040).",dicom_patient,patient_sex,VARCHAR(16),"(0010,0040)",Core Hierarchy,"M, F, or O",,N,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_birth_date (DATE) - Birth date. DICOM tag (0010,0030). Contains PHI - requires masking.",dicom_patient,patient_birth_date,DATE,"(0010,0030)",Core Hierarchy,Birth date,,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column patient_age (VARCHAR(16)) - Age at time of study. DICOM tag (0010,1010).",dicom_patient,patient_age,VARCHAR(16),"(0010,1010)",Core Hierarchy,Age at time of study,,N,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column other_patient_ids (ARRAY) - Alternative patient IDs. DICOM tag (0010,1000). Contains PHI - requires masking.",dicom_patient,other_patient_ids,ARRAY,"(0010,1000)",Core Hierarchy,Alternative patient IDs,,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column other_patient_names (ARRAY) - Alternative names. DICOM tag (0010,1001). Contains PHI - requires masking.",dicom_patient,other_patient_names,ARRAY,"(0010,1001)",Core Hierarchy,Alternative names,,Y,Patient → Study → Series → Instance
"Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column comments (VARCHAR) - Patient comments. DICOM tag (0010,4000).",dicom_patient,comments,VARCHAR,"(0010,4000)",Core Hierarchy,Patient comments,,N,Patient → Study → Series → Instance
Table dicom_patient (Core Hierarchy): Logical patient entity from DICOM headers (not enterprise MPI). Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_patient,_loaded_at,TIMESTAMP_NTZ,,Core Hierarchy,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,Patient → Study → Series → Instance
Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column study_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_study,study_key,INTEGER,,Core Hierarchy,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,FK: patient_key → dicom_patient
Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column patient_key (INTEGER) - Parent patient. Constraints: FK → dicom_patient(patient_key).,dicom_study,patient_key,INTEGER,,Core Hierarchy,Parent patient,FK → dicom_patient(patient_key),N,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column study_instance_uid (VARCHAR) - Globally unique study identifier. DICOM tag (0020,000D). Constraints: NOT NULL UNIQUE.",dicom_study,study_instance_uid,VARCHAR,"(0020,000D)",Core Hierarchy,Globally unique study identifier,NOT NULL UNIQUE,N,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column accession_number (VARCHAR) - RIS accession number. DICOM tag (0008,0050).",dicom_study,accession_number,VARCHAR,"(0008,0050)",Core Hierarchy,RIS accession number,,N,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column study_id (VARCHAR) - Study ID. DICOM tag (0020,0010).",dicom_study,study_id,VARCHAR,"(0020,0010)",Core Hierarchy,Study ID,,N,FK: patient_key → dicom_patient
Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column study_datetime (TIMESTAMP_NTZ) - Combined study date/time.,dicom_study,study_datetime,TIMESTAMP_NTZ,,Core Hierarchy,Combined study date/time,,N,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column study_date (DATE) - Date study started. DICOM tag (0008,0020).",dicom_study,study_date,DATE,"(0008,0020)",Core Hierarchy,Date study started,,N,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column study_time (TIME) - Time study started. DICOM tag (0008,0030).",dicom_study,study_time,TIME,"(0008,0030)",Core Hierarchy,Time study started,,N,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column study_description (VARCHAR) - Study description. DICOM tag (0008,1030).",dicom_study,study_description,VARCHAR,"(0008,1030)",Core Hierarchy,Study description,,N,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column referring_physician (VARCHAR) - Referring physician name. DICOM tag (0008,0090). Contains PHI - requires masking.",dicom_study,referring_physician,VARCHAR,"(0008,0090)",Core Hierarchy,Referring physician name,,Y,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column admitting_diagnosis (VARCHAR) - Admitting diagnosis description. DICOM tag (0008,1080).",dicom_study,admitting_diagnosis,VARCHAR,"(0008,1080)",Core Hierarchy,Admitting diagnosis description,,N,FK: patient_key → dicom_patient
Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column study_instance_uid_root (VARCHAR) - UID root identifier.,dicom_study,study_instance_uid_root,VARCHAR,,Core Hierarchy,UID root identifier,,N,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column number_of_series (INTEGER) - Count of series in study. DICOM tag (0020,1206).",dicom_study,number_of_series,INTEGER,"(0020,1206)",Core Hierarchy,Count of series in study,,N,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column number_of_instances (INTEGER) - Count of instances in study. DICOM tag (0020,1208).",dicom_study,number_of_instances,INTEGER,"(0020,1208)",Core Hierarchy,Count of instances in study,,N,FK: patient_key → dicom_patient
"Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column modalities_in_study (ARRAY) - List of modalities in study. DICOM tag (0008,0061).",dicom_study,modalities_in_study,ARRAY,"(0008,0061)",Core Hierarchy,List of modalities in study,,N,FK: patient_key → dicom_patient
Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column _source_file (VARCHAR) - Source file path.,dicom_study,_source_file,VARCHAR,,Core Hierarchy,Source file path,,N,FK: patient_key → dicom_patient
Table dicom_study (Core Hierarchy): Study-level context (order/visit/exam episode). Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_study,_loaded_at,TIMESTAMP_NTZ,,Core Hierarchy,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,FK: patient_key → dicom_patient
Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column series_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.,dicom_series,series_key,INTEGER,,Core Hierarchy,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,FK: study_key → dicom_study
Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column study_key (INTEGER) - Parent study. Constraints: FK → dicom_study(study_key).,dicom_series,study_key,INTEGER,,Core Hierarchy,Parent study,FK → dicom_study(study_key),N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column series_instance_uid (VARCHAR) - Globally unique series identifier. DICOM tag (0020,000E). Constraints: NOT NULL UNIQUE.",dicom_series,series_instance_uid,VARCHAR,"(0020,000E)",Core Hierarchy,Globally unique series identifier,NOT NULL UNIQUE,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column series_number (INTEGER) - Series number. DICOM tag (0020,0011).",dicom_series,series_number,INTEGER,"(0020,0011)",Core Hierarchy,Series number,,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column modality (VARCHAR(16)) - Equipment type: CT, MR, CR, DX, US, NM, PT, XA, MG, SEG, SR, OT. DICOM tag (0008,0060). Constraints: NOT NULL.",dicom_series,modality,VARCHAR(16),"(0008,0060)",Core Hierarchy,"Equipment type: CT, MR, CR, DX, US, NM, PT, XA, MG, SEG, SR, OT",NOT NULL,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column body_part_examined (VARCHAR) - Body part examined. DICOM tag (0018,0015).",dicom_series,body_part_examined,VARCHAR,"(0018,0015)",Core Hierarchy,Body part examined,,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column laterality (VARCHAR(16)) - L, R, or B. DICOM tag (0020,0060).",dicom_series,laterality,VARCHAR(16),"(0020,0060)",Core Hierarchy,"L, R, or B",,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column series_description (VARCHAR) - Series description. DICOM tag (0008,103E).",dicom_series,series_description,VARCHAR,"(0008,103E)",Core Hierarchy,Series description,,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column frame_of_reference_uid (VARCHAR) - Spatial coordinate frame. DICOM tag (0020,0052).",dicom_series,frame_of_reference_uid,VARCHAR,"(0020,0052)",Core Hierarchy,Spatial coordinate frame,,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column patient_position (VARCHAR(16)) - Patient positioning (HFS, FFS, etc.). DICOM tag (0018,5100).",dicom_series,patient_position,VARCHAR(16),"(0018,5100)",Core Hierarchy,"Patient positioning (HFS, FFS, etc.)",,N,FK: study_key → dicom_study
Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column performed_station_name (VARCHAR) - Station where acquired.,dicom_series,performed_station_name,VARCHAR,,Core Hierarchy,Station where acquired,,N,FK: study_key → dicom_study
Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column performed_location (VARCHAR) - Location where acquired.,dicom_series,performed_location,VARCHAR,,Core Hierarchy,Location where acquired,,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column series_date (DATE) - Date series acquired. DICOM tag (0008,0021).",dicom_series,series_date,DATE,"(0008,0021)",Core Hierarchy,Date series acquired,,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column series_time (TIME) - Time series acquired. DICOM tag (0008,0031).",dicom_series,series_time,TIME,"(0008,0031)",Core Hierarchy,Time series acquired,,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column protocol_name (VARCHAR) - Acquisition protocol name. DICOM tag (0018,1030).",dicom_series,protocol_name,VARCHAR,"(0018,1030)",Core Hierarchy,Acquisition protocol name,,N,FK: study_key → dicom_study
"Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column number_of_instances (INTEGER) - Count of instances in series. DICOM tag (0020,1209).",dicom_series,number_of_instances,INTEGER,"(0020,1209)",Core Hierarchy,Count of instances in series,,N,FK: study_key → dicom_study
Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column _source_file (VARCHAR) - Source file path.,dicom_series,_source_file,VARCHAR,,Core Hierarchy,Source file path,,N,FK: study_key → dicom_study
Table dicom_series (Core Hierarchy): Group of instances with common acquisition context. Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().,dicom_series,_loaded_at,TIMESTAMP_NTZ,,Core Hierarchy,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,FK: study_key → dicom_study
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column instance_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.",dicom_instance,instance_key,INTEGER,,Core Hierarchy,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column series_key (INTEGER) - Parent series. Constraints: FK → dicom_series(series_key).",dicom_instance,series_key,INTEGER,,Core Hierarchy,Parent series,FK → dicom_series(series_key),N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column sop_instance_uid (VARCHAR) - Globally unique instance identifier. DICOM tag (0008,0018). Constraints: NOT NULL UNIQUE.",dicom_instance,sop_instance_uid,VARCHAR,"(0008,0018)",Core Hierarchy,Globally unique instance identifier,NOT NULL UNIQUE,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column sop_class_uid (VARCHAR) - SOP Class identifier (type of object). DICOM tag (0008,0016). Constraints: NOT NULL.",dicom_instance,sop_class_uid,VARCHAR,"(0008,0016)",Core Hierarchy,SOP Class identifier (type of object),NOT NULL,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column instance_number (INTEGER) - Image number in series. DICOM tag (0020,0013).",dicom_instance,instance_number,INTEGER,"(0020,0013)",Core Hierarchy,Image number in series,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column image_type (ARRAY) - Image type components. DICOM tag (0008,0008).",dicom_instance,image_type,ARRAY,"(0008,0008)",Core Hierarchy,Image type components,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column acquisition_datetime (TIMESTAMP_NTZ) - Combined acquisition date/time.",dicom_instance,acquisition_datetime,TIMESTAMP_NTZ,,Core Hierarchy,Combined acquisition date/time,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column content_datetime (TIMESTAMP_NTZ) - Combined content date/time.",dicom_instance,content_datetime,TIMESTAMP_NTZ,,Core Hierarchy,Combined content date/time,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column acquisition_date (DATE) - Date of acquisition. DICOM tag (0008,0022).",dicom_instance,acquisition_date,DATE,"(0008,0022)",Core Hierarchy,Date of acquisition,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column acquisition_time (TIME) - Time of acquisition. DICOM tag (0008,0032).",dicom_instance,acquisition_time,TIME,"(0008,0032)",Core Hierarchy,Time of acquisition,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column content_date (DATE) - Date content created. DICOM tag (0008,0023).",dicom_instance,content_date,DATE,"(0008,0023)",Core Hierarchy,Date content created,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column content_time (TIME) - Time content created. DICOM tag (0008,0033).",dicom_instance,content_time,TIME,"(0008,0033)",Core Hierarchy,Time content created,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column number_of_frames (INTEGER) - Number of frames (multi-frame). DICOM tag (0028,0008). Constraints: DEFAULT 1.",dicom_instance,number_of_frames,INTEGER,"(0028,0008)",Core Hierarchy,Number of frames (multi-frame),DEFAULT 1,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column specific_character_set (VARCHAR) - Character encoding. DICOM tag (0008,0005).",dicom_instance,specific_character_set,VARCHAR,"(0008,0005)",Core Hierarchy,Character encoding,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column burned_in_annotation (VARCHAR) - Whether annotations are burned in. DICOM tag (0028,0301). Contains PHI - requires masking.",dicom_instance,burned_in_annotation,VARCHAR,"(0028,0301)",Core Hierarchy,Whether annotations are burned in,,Y,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column presentation_intent (VARCHAR) - FOR PROCESSING or FOR PRESENTATION. DICOM tag (0008,0068).",dicom_instance,presentation_intent,VARCHAR,"(0008,0068)",Core Hierarchy,FOR PROCESSING or FOR PRESENTATION,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column file_path (VARCHAR) - Original file path.",dicom_instance,file_path,VARCHAR,,Core Hierarchy,Original file path,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column file_size_bytes (INTEGER) - File size in bytes.",dicom_instance,file_size_bytes,INTEGER,,Core Hierarchy,File size in bytes,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column transfer_syntax_uid (VARCHAR) - DICOM transfer syntax. DICOM tag (0002,0010).",dicom_instance,transfer_syntax_uid,VARCHAR,"(0002,0010)",Core Hierarchy,DICOM transfer syntax,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column _source_file (VARCHAR) - Source file path.",dicom_instance,_source_file,VARCHAR,,Core Hierarchy,Source file path,,N,FK: series_key → dicom_series
"Table dicom_instance (Core Hierarchy): Individual DICOM SOP instance (image, SR, SEG, RT, etc.). Column _loaded_at (TIMESTAMP_NTZ) - ETL load timestamp. Constraints: DEFAULT CURRENT_TIMESTAMP().",dicom_instance,_loaded_at,TIMESTAMP_NTZ,,Core Hierarchy,ETL load timestamp,DEFAULT CURRENT_TIMESTAMP(),N,FK: series_key → dicom_series
"Table dicom_frame (Core Hierarchy): Per-frame metadata for multi-frame objects (enhanced CT/MR, SEG). Column frame_key (INTEGER) - Surrogate key. Constraints: AUTOINCREMENT PRIMARY KEY.",dicom_frame,frame_key,INTEGER,,Core Hierarchy,Surrogate key,AUTOINCREMENT PRIMARY KEY,N,FK: instance_key → dicom_instance
"Table dicom_frame (Core Hierarchy): Per-frame metadata for multi-frame objects (enhanced CT/MR, SEG). Column instance_key (INTEGER) - Parent instance. Constraints: FK → dicom_instance(instance_key).",dicom_frame,instance_key,INTEGER,,Core Hierarchy,Parent instance,FK → dicom_instance(instance_key),N,FK: instance_key → dicom_instance
"Table dicom_frame (Core Hierarchy): Per-frame metadata for multi-frame objects (enhanced CT/MR, SEG). Column frame_number (INTEGER) - Frame number (1-based). Constraints: NOT NULL.",dicom_frame,frame_number,INTEGER,,Core Hierarchy,Frame number (1-based),NOT NULL,N,FK: instance_key → dicom_instance
"Table dicom_frame (Core Hierarchy): Per-frame metadata for multi-frame objects (enhanced CT/MR, SEG). Column frame_content_datetime (TIMESTAMP_NTZ) - Frame acquisition time. DICOM tag (0018,9074).",dicom_frame,frame_content_datetime,TIMESTAMP_NTZ,"(0018,9074)",Core Hierarchy,Frame acquisition time,,N,FK: instance_key → dicom_instance
"Table dicom_frame (Core Hierarchy): Per-frame metadata for multi-frame objects (enhanced CT/MR, SEG). Column image_position_patient (ARRAY) - 3D position in patient coordinates. DICOM tag (0020,0032).",dicom_frame,image_position_patient,ARRAY,"(0020,0032)",Core Hierarchy,3D position in patient coordinates,,N,FK: instance_key → dicom_instance
"Table dicom_frame (Core Hierarchy): Per-frame metadata for multi-frame objects (enhanced CT/MR, SEG). Column image_orientation_patient (ARRAY) - Direction cosines. DICOM tag (0020,0037).",dicom_frame,image_orientation_patient,ARRAY,"(0020,0037)",Core Hierarchy,Direction cosines,,N,FK: instance_key → dicom_instance
"Table dicom_frame (Core Hierarchy): Per-frame metadata for multi-frame objects (enhanced CT/MR, SEG). Column slice_location (FLOAT) - Slice location in mm. DICOM tag (0020,1041).",dicom_frame,slice_location,FLOAT,"(0020,1041)",Core Hierarchy,Slice location in mm,,N,FK: instance_key → dicom_instance
"Table dicom_frame (Core Hierarchy): Per-frame metadata for multi-frame objects (enhanced CT/MR, SEG). Column temporal_position_index (INTEGER) - Temporal position for dynamic scans. DICOM tag (0020,9128).",dicom_frame,temporal_position_index,INTEGER,"(0020,9128)",Core Hierarchy,Temporal position for dynamic scans,,N,FK: instance_key → dicom_instance
