table_name,column_name,data_type,constraints,description,fhir_resource,fhir_field,category,contains_phi,relationships,enum_values,search_text
FAMILY_MEMBER_HISTORY,relationship_code,VARCHAR,NOT NULL,Code representing the family relationship,FamilyMemberHistory,relationship.coding.code,CLINICAL,N,,"MOTHER|FATHER|SIBLING|CHILD|OTHER","FAMILY_MEMBER_HISTORY relationship_code MOTHER FATHER SIBLING CHILD OTHER"
FAMILY_MEMBER_HISTORY,relationship_display,VARCHAR,NOT NULL,Display text for the family relationship,FamilyMemberHistory,relationship.coding.display,CLINICAL,N,,,"FAMILY_MEMBER_HISTORY relationship_display family relationship display text"
FAMILY_MEMBER_HISTORY,condition_code,VARCHAR,NULLABLE,Terminology code for the family member condition,FamilyMemberHistory,condition.code.coding.code,CLINICAL,N,,,"FAMILY_MEMBER_HISTORY condition_code terminology code family member condition"
FAMILY_MEMBER_HISTORY,condition_system,VARCHAR,NULLABLE,Code system for the condition code,FamilyMemberHistory,condition.code.coding.system,CLINICAL,N,,,"FAMILY_MEMBER_HISTORY condition_system code system"
FAMILY_MEMBER_HISTORY,condition_display,VARCHAR,NOT NULL,Human-readable condition label,FamilyMemberHistory,condition.code.coding.display,CLINICAL,N,,,"FAMILY_MEMBER_HISTORY condition_display human-readable condition label"
FAMILY_MEMBER_HISTORY,onset_age,INT,NULLABLE,Age at onset of the condition for the family member,FamilyMemberHistory,condition.onsetAge,CLINICAL,N,,,"FAMILY_MEMBER_HISTORY onset_age age onset condition family member"
FAMILY_MEMBER_HISTORY,deceased_flag,BOOLEAN,NULLABLE,Whether the family member is deceased,FamilyMemberHistory,deceasedBoolean,CLINICAL,N,,,"FAMILY_MEMBER_HISTORY deceased_flag family member deceased boolean"
FAMILY_MEMBER_HISTORY,source,VARCHAR,NOT NULL,Source provenance,FamilyMemberHistory,extension,CLINICAL,N,,"EHR_STRUCTURED|GENAI_NLP_NOTE|OTHER","FAMILY_MEMBER_HISTORY source provenance EHR_STRUCTURED GENAI_NLP_NOTE OTHER"
FAMILY_MEMBER_HISTORY,provenance_document_id,VARCHAR,NULLABLE FK,Foreign key to source note document,FamilyMemberHistory,extension,CLINICAL,N,FK->NOTE_DOCUMENT.document_id,,"FAMILY_MEMBER_HISTORY provenance_document_id FK NOTE_DOCUMENT source provenance"
FAMILY_MEMBER_HISTORY,is_negated,BOOLEAN,NOT NULL DEFAULT FALSE,Whether this family history was negated in the note (e.g. no family history of diabetes),FamilyMemberHistory,extension,CLINICAL,N,,,"FAMILY_MEMBER_HISTORY is_negated negation negated denied no family history"
FAMILY_MEMBER_HISTORY,evidence_text,VARCHAR,NULLABLE,Denormalized citation text from the source note that triggered this extraction,FamilyMemberHistory,extension,CLINICAL,N,,,"FAMILY_MEMBER_HISTORY evidence_text citation text quote source note extraction family"
FAMILY_MEMBER_HISTORY,extraction_confidence,NUMBER(5 4),NULLABLE,Confidence score from the NLP extraction engine (0.0 to 1.0),FamilyMemberHistory,extension,CLINICAL,N,,,"FAMILY_MEMBER_HISTORY extraction_confidence confidence score NLP engine probability"
CARE_PLAN_ITEM,care_plan_item_id,VARCHAR,PK NOT NULL,Unique identifier for a care plan item,CarePlan,id,CLINICAL,N,,,"CARE_PLAN_ITEM care_plan_item_id PK unique identifier care plan item goal action"
CARE_PLAN_ITEM,patient_id,VARCHAR,NOT NULL,Patient identifier,CarePlan,subject,CLINICAL,Y,,,"CARE_PLAN_ITEM patient_id patient identifier PHI"
CARE_PLAN_ITEM,encounter_id,VARCHAR,NULLABLE,Encounter identifier,CarePlan,encounter,CLINICAL,N,,,"CARE_PLAN_ITEM encounter_id encounter identifier nullable"
CARE_PLAN_ITEM,item_type,VARCHAR,NOT NULL,Type of care plan item,CarePlan,activity.detail.kind,CLINICAL,N,,"GOAL|ACTION|REFERRAL|FOLLOW_UP|EDUCATION|MONITORING","CARE_PLAN_ITEM item_type GOAL ACTION REFERRAL FOLLOW_UP EDUCATION MONITORING"
CARE_PLAN_ITEM,description,TEXT,NOT NULL,Free-text description of the care plan item,CarePlan,activity.detail.description,CLINICAL,N,,,"CARE_PLAN_ITEM description free-text care plan item description"
CARE_PLAN_ITEM,target_condition_id,VARCHAR,NULLABLE FK,Condition that is the target of the care plan item,CarePlan,addresses,CLINICAL,N,FK->CONDITION.condition_id,,"CARE_PLAN_ITEM target_condition_id FK CONDITION target care plan"
CARE_PLAN_ITEM,due_datetime,TIMESTAMP_NTZ,NULLABLE,Due date for the care plan item,CarePlan,activity.detail.scheduledTiming,CLINICAL,N,,,"CARE_PLAN_ITEM due_datetime due date care plan item nullable"
CARE_PLAN_ITEM,status,VARCHAR,NULLABLE,Status of the care plan item,CarePlan,activity.detail.status,CLINICAL,N,,"PLANNED|IN_PROGRESS|COMPLETED|CANCELLED|UNKNOWN","CARE_PLAN_ITEM status PLANNED IN_PROGRESS COMPLETED CANCELLED UNKNOWN"
CARE_PLAN_ITEM,source,VARCHAR,NOT NULL,Source provenance,CarePlan,extension,CLINICAL,N,,"EHR_STRUCTURED|GENAI_NLP_NOTE|OTHER","CARE_PLAN_ITEM source provenance EHR_STRUCTURED GENAI_NLP_NOTE OTHER"
CARE_PLAN_ITEM,provenance_document_id,VARCHAR,NULLABLE FK,Foreign key to source note document,CarePlan,extension,CLINICAL,N,FK->NOTE_DOCUMENT.document_id,,"CARE_PLAN_ITEM provenance_document_id FK NOTE_DOCUMENT source provenance"
CARE_PLAN_ITEM,evidence_text,VARCHAR,NULLABLE,Denormalized citation text from the source note that triggered this extraction,CarePlan,extension,CLINICAL,N,,,"CARE_PLAN_ITEM evidence_text citation text quote source note extraction care plan"
CARE_PLAN_ITEM,extraction_confidence,NUMBER(5 4),NULLABLE,Confidence score from the NLP extraction engine (0.0 to 1.0),CarePlan,extension,CLINICAL,N,,,"CARE_PLAN_ITEM extraction_confidence confidence score NLP engine probability"
TUMOR_EPISODE,tumor_episode_id,VARCHAR,PK NOT NULL,Unique identifier for a tumor episode,Condition,id,CLINICAL,N,,,"TUMOR_EPISODE tumor_episode_id PK unique identifier tumor episode oncology cancer"
TUMOR_EPISODE,patient_id,VARCHAR,NOT NULL,Patient identifier,Condition,subject,CLINICAL,Y,,,"TUMOR_EPISODE patient_id patient identifier PHI"
TUMOR_EPISODE,primary_condition_id,VARCHAR,FK NOT NULL,Foreign key to the primary cancer condition,Condition,extension,CLINICAL,N,FK->CONDITION.condition_id,,"TUMOR_EPISODE primary_condition_id FK CONDITION primary cancer"
TUMOR_EPISODE,primary_site_code,VARCHAR,NULLABLE,Terminology code for the primary tumor site,Condition,bodySite.coding.code,CLINICAL,N,,,"TUMOR_EPISODE primary_site_code terminology code primary tumor site"
TUMOR_EPISODE,primary_site_system,VARCHAR,NULLABLE,Code system for the primary site,Condition,bodySite.coding.system,CLINICAL,N,,,"TUMOR_EPISODE primary_site_system code system primary site"
TUMOR_EPISODE,primary_site_display,VARCHAR,NULLABLE,Display text for the primary site,Condition,bodySite.coding.display,CLINICAL,N,,,"TUMOR_EPISODE primary_site_display display text primary tumor site"
TUMOR_EPISODE,stage_group,VARCHAR,NULLABLE,Overall stage group (e.g. IIB IVB),Condition,stage.summary,CLINICAL,N,,,"TUMOR_EPISODE stage_group overall stage IIB IVB staging cancer"
TUMOR_EPISODE,tnm_t,VARCHAR,NULLABLE,TNM T component - tumor size,Condition,stage.assessment,CLINICAL,N,,,"TUMOR_EPISODE tnm_t TNM T component tumor size"
TUMOR_EPISODE,tnm_n,VARCHAR,NULLABLE,TNM N component - node involvement,Condition,stage.assessment,CLINICAL,N,,,"TUMOR_EPISODE tnm_n TNM N component node involvement"
TUMOR_EPISODE,tnm_m,VARCHAR,NULLABLE,TNM M component - metastasis,Condition,stage.assessment,CLINICAL,N,,,"TUMOR_EPISODE tnm_m TNM M component metastasis"
TUMOR_EPISODE,grade,VARCHAR,NULLABLE,Tumor grade (e.g. G3 or Gleason 4+3=7),Condition,extension,CLINICAL,N,,,"TUMOR_EPISODE grade tumor grade G3 Gleason histologic"
TUMOR_EPISODE,histology_code,VARCHAR,NULLABLE,Histology terminology code,Condition,extension,CLINICAL,N,,,"TUMOR_EPISODE histology_code histology terminology code"
TUMOR_EPISODE,histology_system,VARCHAR,NULLABLE,Code system for histology,Condition,extension,CLINICAL,N,,,"TUMOR_EPISODE histology_system code system histology"
TUMOR_EPISODE,histology_display,VARCHAR,NULLABLE,Display text for histology type,Condition,extension,CLINICAL,N,,,"TUMOR_EPISODE histology_display display text histology type"
TUMOR_EPISODE,performance_status_scale,VARCHAR,NULLABLE,Performance status scale used,Observation,code,CLINICAL,N,,"ECOG|KARNOFSKY","TUMOR_EPISODE performance_status_scale ECOG KARNOFSKY performance status"
TUMOR_EPISODE,performance_status_value,VARCHAR,NULLABLE,Performance status value (ECOG 0-4 or Karnofsky 0-100),Observation,valueQuantity,CLINICAL,N,,,"TUMOR_EPISODE performance_status_value ECOG 0-4 Karnofsky 0-100"
TUMOR_EPISODE,response_status,VARCHAR,NULLABLE,Treatment response status,Observation,valueCodeableConcept,CLINICAL,N,,"CR|PR|SD|PD|UNKNOWN","TUMOR_EPISODE response_status CR PR SD PD UNKNOWN treatment response RECIST"
TUMOR_EPISODE,source,VARCHAR,NOT NULL,Source provenance,Condition,extension,CLINICAL,N,,"EHR_STRUCTURED|GENAI_NLP_NOTE|OTHER","TUMOR_EPISODE source provenance EHR_STRUCTURED GENAI_NLP_NOTE OTHER"
TUMOR_EPISODE,provenance_document_id,VARCHAR,NULLABLE FK,Foreign key to source note document - typically pathology radiology oncology notes,Condition,extension,CLINICAL,N,FK->NOTE_DOCUMENT.document_id,,"TUMOR_EPISODE provenance_document_id FK NOTE_DOCUMENT source pathology radiology oncology"
TUMOR_EPISODE,certainty,VARCHAR,NULLABLE,Certainty of tumor staging or diagnosis — clinical vs pathological vs suspected,,,CLINICAL,N,,"CONFIRMED|PROBABLE|POSSIBLE","TUMOR_EPISODE certainty confirmed probable possible staging diagnosis clinical pathological"
TUMOR_EPISODE,evidence_text,VARCHAR,NULLABLE,Denormalized citation text from the source note that triggered this extraction,,,CLINICAL,N,,,"TUMOR_EPISODE evidence_text citation text quote source note extraction oncology staging"
TUMOR_EPISODE,extraction_confidence,NUMBER(5 4),NULLABLE,Confidence score from the NLP extraction engine (0.0 to 1.0),,,CLINICAL,N,,,"TUMOR_EPISODE extraction_confidence confidence score NLP engine probability"
NLP_NOTE_ENTITY_MENTION,mention_id,VARCHAR,PK NOT NULL,Unique identifier for an NLP-extracted entity mention span,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION mention_id PK unique identifier NLP extracted entity mention span"
NLP_NOTE_ENTITY_MENTION,document_id,VARCHAR,FK NOT NULL,Foreign key to the source note document,,,NLP,N,FK->NOTE_DOCUMENT.document_id,,"NLP_NOTE_ENTITY_MENTION document_id FK NOTE_DOCUMENT source note"
NLP_NOTE_ENTITY_MENTION,section_id,VARCHAR,NULLABLE FK,Foreign key to the note section where mention was found,,,NLP,N,FK->NOTE_SECTION.section_id,,"NLP_NOTE_ENTITY_MENTION section_id FK NOTE_SECTION nullable"
NLP_NOTE_ENTITY_MENTION,patient_id,VARCHAR,NOT NULL,Patient identifier,,,NLP,Y,,,"NLP_NOTE_ENTITY_MENTION patient_id patient identifier PHI"
NLP_NOTE_ENTITY_MENTION,encounter_id,VARCHAR,NULLABLE,Encounter identifier,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION encounter_id encounter identifier nullable"
NLP_NOTE_ENTITY_MENTION,start_offset,INT,NOT NULL,Character start offset of the mention in raw_text,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION start_offset character start offset mention raw_text"
NLP_NOTE_ENTITY_MENTION,end_offset,INT,NOT NULL,Character end offset of the mention in raw_text,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION end_offset character end offset mention raw_text"
NLP_NOTE_ENTITY_MENTION,text,VARCHAR,NOT NULL,Exact substring from the raw note text,,,NLP,Y,,,"NLP_NOTE_ENTITY_MENTION text exact substring raw note text span PHI"
NLP_NOTE_ENTITY_MENTION,candidate_type,VARCHAR,NOT NULL,Pre-normalization entity type detected by NLP,,,NLP,N,,"CONDITION|SYMPTOM|MEDICATION|LAB_TEST|PROCEDURE|ANATOMY|SOCIAL_HISTORY|FAMILY_HISTORY|ALLERGY|ADVERSE_EVENT|CARE_PLAN|TUMOR|OUTCOME|RISK_FACTOR","NLP_NOTE_ENTITY_MENTION candidate_type CONDITION SYMPTOM MEDICATION LAB_TEST PROCEDURE ANATOMY SOCIAL_HISTORY FAMILY_HISTORY ALLERGY ADVERSE_EVENT CARE_PLAN TUMOR OUTCOME RISK_FACTOR"
NLP_NOTE_ENTITY_MENTION,norm_resource_type,VARCHAR,NULLABLE,Post-normalization target FHIR resource type,,,NLP,N,,"CONDITION|OBSERVATION|PROCEDURE|MEDICATION_REQUEST|ALLERGY_INTOLERANCE|ADVERSE_EVENT|SOCIAL_HISTORY_OBSERVATION|FAMILY_MEMBER_HISTORY|CARE_PLAN_ITEM|TUMOR_EPISODE","NLP_NOTE_ENTITY_MENTION norm_resource_type CONDITION OBSERVATION PROCEDURE MEDICATION_REQUEST ALLERGY_INTOLERANCE ADVERSE_EVENT SOCIAL_HISTORY_OBSERVATION FAMILY_MEMBER_HISTORY CARE_PLAN_ITEM TUMOR_EPISODE"
NLP_NOTE_ENTITY_MENTION,norm_resource_id,VARCHAR,NULLABLE FK,Foreign key to the normalized clinical table,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION norm_resource_id FK normalized clinical table resource"
NLP_NOTE_ENTITY_MENTION,norm_code,VARCHAR,NULLABLE,Normalized terminology code,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION norm_code normalized terminology code SNOMED ICD RxNorm"
NLP_NOTE_ENTITY_MENTION,norm_code_system,VARCHAR,NULLABLE,Code system for normalized code,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION norm_code_system code system normalized"
NLP_NOTE_ENTITY_MENTION,norm_display,VARCHAR,NULLABLE,Display text for normalized code,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION norm_display display text normalized code"
NLP_NOTE_ENTITY_MENTION,engine_family,VARCHAR,NOT NULL,NLP engine family used for extraction,,,NLP,N,,"LLM|RULES|HYBRID","NLP_NOTE_ENTITY_MENTION engine_family LLM RULES HYBRID extraction engine"
NLP_NOTE_ENTITY_MENTION,engine_name,VARCHAR,NOT NULL,Specific engine name,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION engine_name specific engine claude sonnet internal-ner"
NLP_NOTE_ENTITY_MENTION,engine_version,VARCHAR,NULLABLE,Version of the engine used,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION engine_version version engine"
NLP_NOTE_ENTITY_MENTION,confidence_score,NUMBER,NULLABLE,Confidence score 0-1 for the extraction,,,NLP,N,,,"NLP_NOTE_ENTITY_MENTION confidence_score 0-1 extraction confidence"
NLP_NOTE_ENTITY_ATTRIBUTE,mention_id,VARCHAR,FK NOT NULL,Foreign key to the entity mention this attribute applies to,,,NLP,N,FK->NLP_NOTE_ENTITY_MENTION.mention_id,,"NLP_NOTE_ENTITY_ATTRIBUTE mention_id FK NLP_NOTE_ENTITY_MENTION"
NLP_NOTE_ENTITY_ATTRIBUTE,attribute_type,VARCHAR,NOT NULL,Type of context attribute,,,NLP,N,,"NEGATION|TEMPORALITY|CERTAINTY|EXPERIENCER|SEVERITY|BODY_SITE|LATERALITY|DOSAGE|ROUTE|FREQUENCY|DURATION|STAGE|GRADE|PERFORMANCE_STATUS|COURSE|HYPOTHETICAL_FLAG","NLP_NOTE_ENTITY_ATTRIBUTE attribute_type NEGATION TEMPORALITY CERTAINTY EXPERIENCER SEVERITY BODY_SITE LATERALITY DOSAGE ROUTE FREQUENCY DURATION STAGE GRADE PERFORMANCE_STATUS COURSE HYPOTHETICAL_FLAG"
NLP_NOTE_ENTITY_ATTRIBUTE,value_text,VARCHAR,NOT NULL,Free-text value of the attribute,,,NLP,N,,,"NLP_NOTE_ENTITY_ATTRIBUTE value_text free-text negated probable left acute chronic"
NLP_NOTE_ENTITY_ATTRIBUTE,value_code,VARCHAR,NULLABLE,Coded value if mapped to terminology,,,NLP,N,,,"NLP_NOTE_ENTITY_ATTRIBUTE value_code coded value terminology SNOMED"
NLP_NOTE_ENTITY_ATTRIBUTE,value_system,VARCHAR,NULLABLE,Code system for the coded value,,,NLP,N,,,"NLP_NOTE_ENTITY_ATTRIBUTE value_system code system coded value"
NLP_NOTE_ENTITY_ATTRIBUTE,confidence_score,NUMBER,NULLABLE,Confidence score 0-1 for the attribute extraction,,,NLP,N,,,"NLP_NOTE_ENTITY_ATTRIBUTE confidence_score 0-1 attribute confidence"
NLP_NOTE_ENTITY_RELATION,relation_id,VARCHAR,PK NOT NULL,Unique identifier for an entity relation,,,NLP,N,,,"NLP_NOTE_ENTITY_RELATION relation_id PK unique identifier entity relation"
NLP_NOTE_ENTITY_RELATION,subject_mention_id,VARCHAR,FK NOT NULL,Foreign key to the subject entity mention,,,NLP,N,FK->NLP_NOTE_ENTITY_MENTION.mention_id,,"NLP_NOTE_ENTITY_RELATION subject_mention_id FK NLP_NOTE_ENTITY_MENTION subject"
NLP_NOTE_ENTITY_RELATION,relation_type,VARCHAR,NOT NULL,Type of relation between entities,,,NLP,N,,"HAS_ANATOMICAL_SITE|INDICATION_OF|CAUSED_BY|COMPLICATES|FAMILY_HISTORY_OF|PART_OF_REGIMEN|HAS_STAGE|HAS_GRADE|ASSOCIATED_WITH","NLP_NOTE_ENTITY_RELATION relation_type HAS_ANATOMICAL_SITE INDICATION_OF CAUSED_BY COMPLICATES FAMILY_HISTORY_OF PART_OF_REGIMEN HAS_STAGE HAS_GRADE ASSOCIATED_WITH"
NLP_NOTE_ENTITY_RELATION,object_mention_id,VARCHAR,FK NOT NULL,Foreign key to the object entity mention,,,NLP,N,FK->NLP_NOTE_ENTITY_MENTION.mention_id,,"NLP_NOTE_ENTITY_RELATION object_mention_id FK NLP_NOTE_ENTITY_MENTION object"
NLP_NOTE_ENTITY_RELATION,confidence_score,NUMBER,NULLABLE,Confidence score 0-1 for the relation,,,NLP,N,,,"NLP_NOTE_ENTITY_RELATION confidence_score 0-1 relation confidence"
CODE_SYSTEM,code_system_id,VARCHAR,PK NOT NULL,Unique identifier for a standard terminology code system,,,TERMINOLOGY,N,,,"CODE_SYSTEM code_system_id PK unique identifier terminology code system"
CODE_SYSTEM,uri,VARCHAR,NOT NULL,URI of the code system (e.g. http://snomed.info/sct),,,TERMINOLOGY,N,,,"CODE_SYSTEM uri URI code system http://snomed.info/sct http://loinc.org http://www.nlm.nih.gov/research/umls/rxnorm"
CODE_SYSTEM,name,VARCHAR,NOT NULL,Human-readable name of the code system,,,TERMINOLOGY,N,,,"CODE_SYSTEM name human-readable code system SNOMED CT LOINC RxNorm ICD-10 MedDRA"
CONCEPT_DIMENSION,concept_id,VARCHAR,PK NOT NULL,Unique identifier for a concept in the terminology dimension,,,TERMINOLOGY,N,,,"CONCEPT_DIMENSION concept_id PK unique identifier concept terminology dimension"
CONCEPT_DIMENSION,code_system_id,VARCHAR,FK NOT NULL,Foreign key to the code system,,,TERMINOLOGY,N,FK->CODE_SYSTEM.code_system_id,,"CONCEPT_DIMENSION code_system_id FK CODE_SYSTEM"
CONCEPT_DIMENSION,code,VARCHAR,NOT NULL,The terminology code value,,,TERMINOLOGY,N,,,"CONCEPT_DIMENSION code terminology code value SNOMED ICD RxNorm LOINC"
CONCEPT_DIMENSION,display,VARCHAR,NOT NULL,Human-readable display text for the concept,,,TERMINOLOGY,N,,,"CONCEPT_DIMENSION display human-readable concept text"
CONCEPT_DIMENSION,semantic_group,VARCHAR,NULLABLE,Semantic grouping of the concept,,,TERMINOLOGY,N,,"DISEASE|SYMPTOM|PROCEDURE|LAB|MEDICATION|ANATOMY|DEVICE|SOCIAL|FAMILY|TUMOR|SCORE|ROUTE|OTHER","CONCEPT_DIMENSION semantic_group DISEASE SYMPTOM PROCEDURE LAB MEDICATION ANATOMY DEVICE SOCIAL FAMILY TUMOR SCORE ROUTE OTHER route of administration"
